requests_per_minute,failed_logins,unique_paths,post_get_ratio,suspicious_keywords,label
48,0,11,0.3482766817909471,0,0
41,0,12,0.24948711039913865,0,0
13,0,5,0.49128254993601905,0,0
36,0,8,0.2126658050928777,1,0
42,2,7,0.171127627777678,0,0
13,0,8,0.3527085389770003,0,0
17,0,13,0.3812672847633576,1,0
17,2,14,0.25403226423523817,1,0
21,0,12,0.1919573340021603,0,0
47,2,5,0.3009916865231107,1,0
28,0,5,0.31129169717402877,0,0
48,0,14,0.28337554971198675,0,0
17,2,5,0.12695740519752252,0,0
31,1,5,0.2380093485031062,0,0
31,0,14,0.4025076466590578,1,0
37,0,4,0.4354737025787734,1,0
38,2,12,0.3544053558206778,0,0
29,2,11,0.4962104060372361,1,0
32,0,11,0.1098811216799375,0,0
41,2,11,0.279440665020811,0,0
17,0,11,0.29175198360886245,1,0
32,1,12,0.20437180185813208,0,0
46,1,7,0.4423867076973932,1,0
15,0,13,0.28827008347121286,0,0
21,1,14,0.28783776929882793,1,0
48,0,6,0.3900920198279191,1,0
20,1,8,0.10718740275721875,0,0
44,2,7,0.4216241673992277,0,0
24,0,7,0.34300305406613085,1,0
12,2,8,0.2512210529751602,1,0
25,0,11,0.27381185157450605,0,0
14,0,7,0.2173326154503883,0,0
11,0,9,0.35805092460149057,0,0
23,0,8,0.33992415283148036,0,0
48,2,8,0.2651711836194046,1,0
23,1,11,0.2802207442432317,1,0
43,1,14,0.11179883954465725,0,0
49,0,11,0.2862147085335017,1,0
40,2,7,0.27916192224307024,0,0
11,0,9,0.18558645946328328,1,0
34,2,11,0.26547500657690026,1,0
16,1,7,0.36525106944952934,1,0
32,0,13,0.31665389337961136,0,0
23,1,13,0.3097436751251313,1,0
27,0,13,0.2964426599290725,0,0
31,2,11,0.3413812228210922,1,0
42,2,5,0.46619116997695154,0,0
49,2,13,0.1309128380055325,1,0
23,1,14,0.48428637963538046,1,0
29,0,12,0.12900468106858956,1,0
31,0,4,0.37078982713344766,0,0
27,2,4,0.35738415717997707,1,0
33,0,12,0.13854142041101314,0,0
35,0,8,0.3542478976993365,0,0
44,0,14,0.3268472178445849,1,0
14,0,6,0.33584979587375274,0,0
41,1,6,0.1745015017861235,0,0
44,1,10,0.4259754591125109,0,0
10,2,5,0.18074250212226037,0,0
35,2,3,0.4914991614611297,1,0
28,2,3,0.3137611491885236,1,0
37,2,11,0.25426049266751505,1,0
39,0,10,0.43480575447104286,0,0
10,0,14,0.4153453544758591,1,0
30,1,7,0.44792791793188547,0,0
42,1,12,0.14062832271173642,1,0
35,0,12,0.1445180644882437,1,0
17,1,7,0.3746779081409486,1,0
32,0,6,0.4224328968130018,0,0
42,2,9,0.3737464908975584,1,0
21,2,4,0.3658596985743868,1,0
40,2,12,0.3000051658669083,0,0
20,1,7,0.1716615495377044,1,0
18,1,7,0.23190749598376478,1,0
10,1,3,0.30943753731888785,0,0
40,1,10,0.45621364908649276,0,0
29,0,14,0.37070036987688637,1,0
42,0,14,0.1345487651666838,0,0
24,0,6,0.23658070941940723,0,0
10,1,10,0.4774515049199336,1,0
36,1,13,0.19858313459982233,0,0
10,0,14,0.4244248188723837,1,0
12,0,12,0.1867343112779053,0,0
24,2,3,0.3649191039141839,0,0
40,0,3,0.2111845228682007,0,0
45,1,12,0.1369424810009363,1,0
32,2,14,0.2691410257462462,1,0
38,2,8,0.1119533877349241,0,0
13,1,10,0.46615314451538337,1,0
20,1,3,0.46203397287421455,1,0
29,0,12,0.18487716767246298,1,0
49,2,10,0.44418542668826,1,0
37,2,4,0.44191055333329177,1,0
16,0,10,0.29540275833036245,0,0
41,0,13,0.4639082540704501,0,0
46,2,13,0.4536572000691802,1,0
34,0,9,0.3408675615546034,1,0
11,2,4,0.4745051001951157,1,0
10,1,3,0.13931501345623776,1,0
37,0,5,0.32070214868285374,1,0
45,0,6,0.4830337968971721,0,0
44,1,5,0.25500575004370807,0,0
41,0,14,0.45732924995475954,1,0
39,0,12,0.3608480541898633,0,0
33,0,4,0.48071213407167435,0,0
35,1,13,0.36230587519441515,0,0
36,2,14,0.23722166666029618,0,0
47,2,8,0.4654708517989874,1,0
36,2,13,0.1591021898543502,0,0
47,1,8,0.30801844632721265,0,0
25,1,11,0.15491624945367058,0,0
44,0,4,0.18761166091041992,1,0
21,1,11,0.3161782400803024,1,0
49,2,12,0.33095533043729997,0,0
40,2,14,0.26362023529741285,1,0
49,1,7,0.1746997644069535,1,0
29,2,3,0.24155281792372213,0,0
36,1,13,0.24821880684507625,0,0
34,2,4,0.3172025992776827,1,0
27,1,9,0.2906073073187284,1,0
32,2,10,0.4626556168933098,0,0
36,1,5,0.3855912015961114,1,0
26,1,6,0.2521771402977058,0,0
37,2,5,0.4232060029895931,1,0
45,1,6,0.38483837588192826,1,0
43,0,7,0.11424197766264627,1,0
41,2,11,0.4116482681905427,1,0
37,0,13,0.2615577532355772,1,0
45,1,8,0.10844662299329477,1,0
20,1,4,0.2140131771028594,1,0
25,1,4,0.18918955007693605,0,0
41,2,13,0.23903139276226107,1,0
18,1,5,0.3436845952330977,1,0
11,2,4,0.1870819529920704,0,0
38,0,12,0.3518972624249691,1,0
